Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024
Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020
31-Mar-2021,31-Dec-2020,747897,-76889,-67445,-69625,-9.02%,-2.45%,-10.67,0.00,4.36,-849.35%,"-6,779.94%",,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-2020,30-Sep-2020,964543,1722,-9998,-7334,-1.04%,-0.25%,-1.12,1.50,4.47,90.76%,-179.30%,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-2020,30-Jun-2020,512892,-86330,-84522,-79360,-16.48%,-2.72%,-12.16,0.00,4.48,-756.93%,-508.48%,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jun-2020,31-Mar-2020,734287,199,-14788,-9261,-2.01%,-0.31%,-1.42,0.00,4.59,-815.12%,-157.95%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019
28-Feb-2020,31-Dec-2019,974611,22944,2507,-1012,0.26%,-0.03%,-0.16,2.00,4.63,-110.94%,-101.96%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov-2019,30-Sep-2019,1050557,20849,7916,9248,0.75%,0.32%,1.42,0.00,4.37,-52.40%,-71.86%,,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug-2019,30-Jun-2019,1066674,40807,19052,19428,1.79%,0.68%,2.98,2.00,4.38,21.57%,57.15%,,,,,,,,,,,,,,,,,,,,,,,,,
14-May-2019,31-Mar-2019,1080605,29727,17217,15981,1.59%,0.56%,2.45,0.00,4.38,-69.00%,275.85%,,,,,,,,,,,,,,,,,,,,,,,,,
