Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025
25-Aug-2021,30-Jun-2021,11342000,409000,231000,211000,2.04%,1.33%,3.10,9.00,2.33,-29.67%,19.21%,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-2021,31-Mar-2021,11021000,446000,325000,300000,2.95%,1.92%,4.40,0.00,2.30,-52.61%,160.87%,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb-2021,31-Dec-2020,11243000,824000,668000,633000,5.94%,4.08%,9.30,6.00,2.28,125.27%,124.47%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov-2020,30-Sep-2020,10877000,426000,306000,281000,2.81%,1.91%,4.10,0.00,2.16,58.76%,14.23%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020,Financial Year: 30-Jun-2020
27-Aug-2020,30-Jun-2020,8821000,286000,189000,177000,2.14%,1.18%,2.60,8.00,2.21,53.91%,-3.80%,,,,,,,,,,,,,,,,,,,,,,,,,
21-May-2020,31-Mar-2020,8428000,224000,128000,115000,1.52%,0.81%,1.70,0.00,2.10,-59.22%,-48.20%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Feb-2020,31-Dec-2019,10209000,413000,297000,282000,2.91%,1.94%,4.10,2.00,2.14,14.63%,-11.04%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov-2019,30-Sep-2019,9476000,352000,259000,246000,2.73%,1.73%,3.60,0.00,2.09,33.70%,9.33%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019,Financial Year: 30-Jun-2019
27-Aug-2019,30-Jun-2019,9323000,344000,202000,184000,2.17%,1.25%,2.70,8.00,2.16,-17.12%,12.88%,,,,,,,,,,,,,,,,,,,,,,,,,
29-May-2019,31-Mar-2019,8565000,308000,233000,222000,2.72%,1.53%,3.30,0.00,2.13,-29.97%,64.44%,,,,,,,,,,,,,,,,,,,,,,,,,
21-Feb-2019,31-Dec-2018,9423000,308000,337000,317000,3.58%,2.20%,4.70,2.00,2.12,40.89%,3.93%,,,,,,,,,,,,,,,,,,,,,,,,,
21-Nov-2018,30-Sep-2018,8845000,331000,238000,225000,2.69%,1.58%,3.30,0.00,2.09,38.04%,-82.90%,,,,,,,,,,,,,,,,,,,,,,,,,
