Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024
Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020,Financial Year: 31-Dec-2020
24-Feb-2021,31-Dec-2020,4850058,948779,1031091,985989,21.26%,13.01%,51.00,0.00,3.92,"1,975.85%",261.60%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov-2020,30-Sep-2020,3563735,142424,110598,47498,3.10%,0.72%,2.46,0.00,3.39,115.52%,18.51%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-2020,30-Jun-2020,2004954,-365803,-377092,-306083,-18.81%,-4.68%,-15.83,0.00,3.38,-76.65%,-762.32%,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun-2020,31-Mar-2020,2736789,-185304,-215765,-173272,-7.88%,-2.55%,-8.96,0.00,3.52,-163.54%,-235.51%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019
28-Feb-2020,31-Dec-2019,3504592,194715,243807,272677,6.96%,3.90%,14.10,0.00,3.62,580.37%,273.42%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-2019,30-Sep-2019,3594857,131024,85944,40078,2.39%,0.59%,2.07,0.00,3.49,-13.28%,450.98%,,,,,,,,,,,,,,,,,,,,,,,,,
23-Aug-2019,30-Jun-2019,3436857,146722,109373,46214,3.18%,0.68%,2.39,0.00,3.50,-63.86%,169.39%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019,Financial Year: 31-Mar-2019
