Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025
Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021,Financial Year: 30-Apr-2021
18-Jun-2021,30-Apr-2021,641197,83470,65870,66827,10.27%,11.78%,5.75,3.25,0.4883,102.00%,"2,617.65%",,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-2021,31-Jan-2021,597980,42208,32569,33082,5.45%,6.41%,2.85,1.50,0.4447,33.45%,21.85%,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-2020,31-Oct-2020,599844,33900,24533,24790,4.09%,4.96%,2.13,1.25,0.4301,168.14%,21.59%,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep-2020,31-Jul-2020,448894,13115,8587,9245,1.91%,1.92%,0.80,0.50,0.4138,275.97%,-81.70%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020,Financial Year: 30-Apr-2020
11-Jun-2020,30-Apr-2020,299360,3199,2056,2459,0.69%,0.52%,0.21,0.00,0.4041,-90.94%,-95.91%,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-2020,31-Jan-2020,467463,34347,28382,27150,6.07%,5.68%,2.34,1.45,0.4118,33.17%,-66.49%,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-2019,31-Oct-2019,457169,29188,21608,20388,4.73%,4.23%,1.76,2.75,0.4164,-59.64%,-72.42%,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep-2019,31-Jul-2019,535044,65037,51473,50515,9.62%,10.13%,4.35,3.25,0.4296,-15.89%,0.47%,,,,,,,,,,,,,,,,,,,,,,,,,
