Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023
Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019,Financial Year: 31-Dec-2019
27-Feb-2020,31-Dec-2019,3115661,311671,272921,200460,8.76%,5.43%,17.15,2.00,3.1607,81.75%,"1,230.55%",,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-2019,30-Sep-2019,2882665,150305,131222,110293,4.55%,3.11%,9.44,4.00,3.0383,92.86%,-13.92%,,,,,,,,,,,,,,,,,,,,,,,,,
20-Nov-2019,30-Jun-2019,2966016,152135,113753,57189,3.84%,1.66%,4.90,0.00,2.954,-33.89%,-54.02%,,,,,,,,,,,,,,,,,,,,,,,,,
21-May-2019,31-Mar-2019,2774803,140676,110841,86502,3.99%,2.53%,7.40,0.00,2.9287,474.15%,16.76%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018
27-Feb-2019,31-Dec-2018,2681828,103946,76128,15066,2.84%,0.45%,1.29,2.50,2.8475,-88.24%,103.48%,,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-2018,30-Sep-2018,3289976,233568,172071,128130,5.23%,3.90%,10.97,0.00,2.8142,3.02%,536.31%,,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug-2018,30-Jun-2018,2919134,301339,139597,124376,4.78%,3.91%,10.65,0.00,2.7207,67.89%,159.42%,,,,,,,,,,,,,,,,,,,,,,,,,
22-May-2018,31-Mar-2018,2415339,147300,93794,74084,3.88%,2.37%,6.34,5.00,2.6772,117.12%,267.39%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017
27-Feb-2018,31-Dec-2017,2954658,17584,-428673,-432670,-14.51%,-14.04%,-37.04,0.00,2.6384,"-1,373.32%",71.79%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-2017,30-Sep-2017,2671008,19932,-9825,-29367,-0.37%,-0.83%,-2.51,0.00,3.0141,85.97%,77.20%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-2017,30-Jun-2017,2785682,-11199,-224891,-209302,-8.07%,-5.92%,-17.92,0.00,3.026,"-1,137.95%","-1,625.92%",,,,,,,,,,,,,,,,,,,,,,,,,
23-May-2017,31-Mar-2017,2695150,138856,-10561,20165,-0.39%,0.42%,1.73,0.00,4.0733,101.31%,21.62%,,,,,,,,,,,,,,,,,,,,,,,,,
