"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2023","4.86","4.85","4.87","4.85","273.00K","0.00%"
"11/07/2023","4.86","4.86","4.88","4.85","716.60K","-0.21%"
"11/06/2023","4.87","4.86","4.87","4.85","409.60K","0.21%"
"11/03/2023","4.86","4.86","4.86","4.85","454.20K","0.00%"
"11/02/2023","4.86","4.86","4.86","4.85","624.10K","0.41%"
"11/01/2023","4.84","4.85","4.85","4.84","708.30K","-0.21%"
"10/31/2023","4.85","4.84","4.85","4.83","1.00M","0.41%"
"10/30/2023","4.83","4.83","4.84","4.81","436.30K","-0.21%"
"10/27/2023","4.84","4.85","4.86","4.83","1.43M","-0.21%"
"10/26/2023","4.85","4.83","4.85","4.82","867.40K","0.41%"
"10/25/2023","4.83","4.83","4.83","4.81","447.10K","0.21%"
"10/24/2023","4.82","4.82","4.83","4.80","848.70K","0.00%"
"10/23/2023","4.82","4.80","4.82","4.80","197.10K","0.42%"
"10/20/2023","4.80","4.80","4.82","4.80","703.00K","-0.21%"
"10/19/2023","4.81","4.79","4.81","4.79","1.31M","0.00%"
"10/18/2023","4.81","4.77","4.81","4.76","5.36M","0.42%"
"10/17/2023","4.79","4.78","4.79","4.77","587.70K","0.00%"
"10/16/2023","4.79","4.78","4.80","4.77","1.25M","0.21%"
"10/13/2023","4.78","4.75","4.78","4.75","3.14M","0.63%"
"10/12/2023","4.75","4.75","4.77","4.74","7.34M","0.00%"
"10/11/2023","4.75","4.74","4.76","4.73","7.52M","0.42%"
"10/10/2023","4.73","4.74","4.76","4.71","5.12M","0.00%"
"10/09/2023","4.73","4.73","4.75","4.72","4.55M","0.21%"
"10/06/2023","4.72","4.75","4.75","4.71","3.65M","-0.42%"
"10/05/2023","4.74","4.75","4.76","4.74","850.90K","-0.21%"
"10/04/2023","4.75","4.73","4.75","4.72","7.76M","0.42%"
"10/03/2023","4.73","4.76","4.78","4.73","4.36M","-0.63%"
"10/02/2023","4.76","4.76","4.78","4.75","2.50M","0.00%"
"09/29/2023","4.76","4.77","4.78","4.75","2.45M","-0.21%"
"09/27/2023","4.77","4.86","4.86","4.76","2.81M","-2.65%"
"09/26/2023","4.90","4.76","4.90","4.74","4.83M","2.73%"
"09/25/2023","4.77","4.76","4.77","4.76","266.50K","-0.21%"
"09/22/2023","4.78","4.75","4.78","4.75","1.56M","0.42%"
"09/21/2023","4.76","4.77","4.77","4.75","1.02M","0.00%"
"09/20/2023","4.76","4.77","4.79","4.75","2.57M","0.00%"
"09/19/2023","4.76","4.77","4.78","4.73","2.52M","-0.42%"
"09/18/2023","4.78","4.78","4.79","4.75","300.00K","0.21%"
"09/15/2023","4.77","4.77","4.80","4.75","1.71M","0.00%"
"09/14/2023","4.77","4.79","4.81","4.75","2.60M","-0.83%"
"09/13/2023","4.81","4.78","4.81","4.78","647.00K","0.42%"
"09/12/2023","4.79","4.82","4.83","4.78","623.40K","-0.62%"
"09/11/2023","4.82","4.77","4.82","4.77","703.20K","1.05%"
"09/08/2023","4.77","4.80","4.83","4.77","4.94M","-0.63%"
"09/07/2023","4.80","4.76","4.81","4.76","2.46M","0.63%"
"09/06/2023","4.77","4.78","4.78","4.75","3.14M","0.42%"
"09/05/2023","4.75","4.79","4.79","4.75","1.87M","-0.84%"
"09/04/2023","4.79","4.84","4.84","4.76","1.14M","-1.03%"
"09/01/2023","4.84","4.77","4.85","4.75","3.89M","1.47%"
"08/30/2023","4.77","4.78","4.80","4.74","1.64M","-0.63%"
"08/29/2023","4.80","4.70","4.82","4.70","4.45M","2.56%"
"08/28/2023","4.68","4.75","4.76","4.65","16.60M","-1.27%"
"08/25/2023","4.74","4.81","4.88","4.73","23.94M","2.60%"
"08/24/2023","4.62","4.57","4.76","4.57","4.10M","1.54%"
"08/23/2023","4.55","4.58","4.63","4.51","4.54M","0.00%"
"08/22/2023","4.55","4.53","4.57","4.49","1.91M","0.44%"
"08/21/2023","4.53","4.61","4.62","4.50","3.23M","-1.74%"
"08/18/2023","4.61","4.54","4.61","4.53","2.56M","2.22%"
"08/17/2023","4.51","4.50","4.59","4.43","2.85M","0.67%"
"08/16/2023","4.48","4.50","4.55","4.41","3.89M","-0.44%"
"08/15/2023","4.50","4.53","4.55","4.44","3.61M","-0.66%"
"08/14/2023","4.53","4.26","4.57","4.26","6.90M","6.09%"
"08/11/2023","4.27","4.28","4.38","4.23","2.43M","-0.23%"
"08/10/2023","4.28","4.20","4.33","4.20","2.77M","2.15%"
"08/09/2023","4.19","4.10","4.23","4.10","2.79M","2.20%"
"08/08/2023","4.10","4.10","4.12","4.06","3.10M","0.24%"
"08/07/2023","4.09","4.09","4.18","4.08","1.03M","0.00%"
"08/04/2023","4.09","4.08","4.18","4.06","1.38M","0.25%"
"08/03/2023","4.08","4.10","4.12","4.02","1.53M","-0.24%"
"08/02/2023","4.09","4.12","4.13","4.05","3.87M","-0.73%"
