Price,Close,High,Low,Open,Volume
Ticker,4197.KL,4197.KL,4197.KL,4197.KL,4197.KL
Date,,,,,
2023-08-10,1.9390910863876343,1.9841861829251737,1.9390910863876343,1.9841861829251737,3621000
2023-08-11,1.9571291208267212,1.9661481401149852,1.9210530436736653,1.9390910822501932,2818500
2023-08-14,1.9481098651885986,1.98418593796481,1.939090846994546,1.9661479015767043,5341000
2023-08-15,1.9481098651885986,1.9571288833826515,1.939090846994546,1.9481098651885986,5417700
2023-08-16,1.9481098651885986,1.9571288833826515,1.939090846994546,1.939090846994546,5672100
2023-08-17,1.9300720691680908,1.957129127119885,1.9300720691680908,1.9481101078026204,4508100
2023-08-18,1.9030146598815918,1.9300719309257783,1.8939956412103185,1.9300719309257783,8738600
2023-08-21,1.9030146598815918,1.921052912254505,1.8849766225390452,1.9030146598815918,6265100
2023-08-22,1.9030146598815918,1.9300719309257783,1.8939956412103185,1.921052912254505,6034700
2023-08-23,1.893995761871338,1.912033800363036,1.8849767426254889,1.903014781117187,8844800
2023-08-24,1.9030146598815918,1.9030146598815918,1.8849766225390452,1.8939956412103185,4847800
2023-08-25,1.9841861724853516,2.0292812687856228,1.957129114705189,1.9841861724853516,33271600
2023-08-28,2.0022242069244385,2.0743763608578085,1.984186168441096,1.984186168441096,15633500
2023-08-29,2.038300037384033,2.056338073685899,2.0022239647803013,2.0202620010821675,13305200
2023-08-30,2.0743765830993652,2.0743765830993652,2.0202624618517375,2.0563385426834895,13501600
2023-09-01,2.0743765830993652,2.092414623515241,2.047319522475551,2.092414623515241,11425400
2023-09-04,2.0473194122314453,2.0833954911205717,2.0383003925091634,2.0833954911205717,7186600
2023-09-05,2.0202622413635254,2.065357337481608,2.002224202916292,2.0563383182579917,8258600
2023-09-06,2.0292813777923584,2.0473194172814146,2.0202623580478303,2.0292813777923584,7666100
2023-09-07,2.0575969219207764,2.076473939321094,2.038719904520459,2.038719904520459,6547400
2023-09-08,2.067035436630249,2.0953509628130447,2.0575969279026505,2.067035436630249,4702800
2023-09-11,2.0575969219207764,2.076473939321094,2.038719904520459,2.067035430620935,2874600
2023-09-12,2.0481584072113037,2.0670354245562357,2.0198428811939055,2.0575969158837695,4772400
2023-09-13,2.0481584072113037,2.0670354245562357,2.0292813898663717,2.0387198985388375,3348100
2023-09-14,2.0575969219207764,2.0953509567214113,2.0481584132206176,2.0481584132206176,5635000
2023-09-15,2.0292813777923584,2.0953509381065136,2.0292813777923584,2.06703541225759,19317900
2023-09-18,2.095350980758667,2.1047894895671013,2.03871992790806,2.0481584367164944,7712000
2023-09-19,2.1142280101776123,2.1236665190387347,2.085912483594245,2.10478950131649,4851500
2023-09-20,2.1142280101776123,2.1236665190387347,2.085912483594245,2.1142280101776123,7003600
2023-09-21,2.067035436630249,2.12366648899584,2.0575969279026505,2.1142279802682413,6092500
2023-09-22,2.095350980758667,2.095350980758667,2.0481584367164944,2.0575969455249288,5622700
2023-09-25,2.0859122276306152,2.104789243036449,2.0670352122247815,2.095350735333532,4213200
2023-09-26,2.067035436630249,2.0953509628130447,2.067035436630249,2.085912454085446,2452900
2023-09-27,2.0859122276306152,2.095350735333532,2.057596704521864,2.057596704521864,5308600
2023-09-29,2.0859122276306152,2.104789243036449,2.0764737199276984,2.0764737199276984,6272500
2023-10-02,2.0859122276306152,2.095350735333532,2.0764737199276984,2.0859122276306152,3166300
2023-10-03,2.0859122276306152,2.095350735333532,2.057596704521864,2.0859122276306152,10122100
2023-10-04,2.067035436630249,2.085912454085446,2.038719910447454,2.085912454085446,9912700
2023-10-05,2.0764739513397217,2.0859124600945105,2.0481584250753553,2.067035442584933,6523700
2023-10-06,2.0859122276306152,2.095350735333532,2.0764737199276984,2.0764737199276984,5453700
2023-10-09,2.1142280101776123,2.1236665190387347,2.085912483594245,2.085912483594245,7256300
